name,n,PE_1h_mean,PE_1h_lo,PE_1h_hi,PE_1h_std,PE_6h_mean,PE_6h_lo,PE_6h_hi,PE_6h_std,PE_12h_mean,PE_12h_lo,PE_12h_hi,PE_12h_std,PE_pers_1h_mean,PE_pers_1h_lo,PE_pers_1h_hi,PE_pers_1h_std,PE_st_6h_mean,PE_st_6h_lo,PE_st_6h_hi,PE_st_6h_std
lstm,15,0.9554301381111145,0.9530082668860753,0.957563730875651,0.004653320848625859,0.8805761178334554,0.8776579130689303,0.8830555818478266,0.005518446103507543,0.8399694522221883,0.8372173282504082,0.8428570768237114,0.00585784264815684,-1.1947656313578288,-1.30938169836998,-1.0889393468697866,0.22914450380534532,0.7884058197339375,0.776275489727656,0.8008779453237851,0.025309045962356308
storm_bz,15,0.9860284328460693,0.9858700910210609,0.9861789110302925,0.00031390405105871964,0.8995162725448609,0.898017430504163,0.9009740773836772,0.0030859372444340177,0.8538069883982341,0.8509306594729423,0.856454280813535,0.005710470181420056,0.31199429829915365,0.3042287794748942,0.31912777145703636,0.015457841874195669,0.8120505928993225,0.8047910342613855,0.8191080579161644,0.014805517927406715
storm_cathode,15,0.9861381848653158,0.9860015017787616,0.9862631025910378,0.000265480073973842,0.9010557015736897,0.8998966659108797,0.9021607321500777,0.0022888869330554744,0.8549428343772888,0.8525041395425796,0.8572581967711449,0.004867736842546721,0.3173987627029419,0.3108282498518626,0.3235290444890658,0.013073007529650906,0.8150001168251038,0.8073908299207687,0.8216994765400886,0.014633327840476629
storm_cathode_spec,15,0.9861830472946167,0.9860699281096459,0.9863085545102755,0.0002437384571714891,0.9016117970148723,0.9000100508332252,0.9032309724887212,0.0032901817347947247,0.8563142538070678,0.8539182676871617,0.858627588947614,0.004865440157797471,0.319607933362325,0.3139948565761248,0.325668018857638,0.012002072916354432,0.8154880603154501,0.8083818416794141,0.8233054705460866,0.01531631586305021
storm_no_delay,15,0.9869152506192526,0.9867971719304721,0.9870373377203941,0.00024404722610865613,0.9016622145970662,0.9004649390776952,0.9027603325247765,0.002336594562598796,0.8554515679677327,0.8532077704866727,0.8574685121575991,0.004337847322292825,0.3556647300720215,0.3497127586603164,0.3616268821557363,0.012017606229146249,0.8093836625417073,0.8039566201965015,0.8156300898392995,0.012044104579211012
storm_no_gate,15,0.9862141807874044,0.9859935467441877,0.9864177090922992,0.00044140438032806196,0.9003934144973755,0.898549941678842,0.9020021493236223,0.0035183707267945666,0.8559396902720133,0.8539161855975786,0.8577966203292211,0.003983682997557896,0.3211414933204651,0.31039491802453995,0.3314914637804032,0.02173663617513649,0.819121241569519,0.8137450933456422,0.824457931915919,0.010990499330731719
storm_no_physics,15,0.9860387007395427,0.985908141831557,0.9861645533641179,0.00026303077598699084,0.8987367630004883,0.8968185842037201,0.9004884720842043,0.0037451411562499093,0.8501827359199524,0.8467665335536003,0.8531081349651018,0.006484879638028501,0.31249990065892536,0.305934998691082,0.3186523329218228,0.012952165465455691,0.8069280743598938,0.799268882671992,0.8141937051216761,0.015343206327572816
storm_radiotrophic,15,0.9863037784894307,0.9862216311693192,0.9863911156853039,0.00017709679437066464,0.9007444898287456,0.8989072378476461,0.9023501087228457,0.003505491895889869,0.8544563730557759,0.8519074815511704,0.8569397832949956,0.005150943309093029,0.3255535960197449,0.3213826705018679,0.3298600478967031,0.0087209147198681,0.8139753619829814,0.8082778012752533,0.8191072941819826,0.01116256644639271
transformer,15,0.9781472245852153,0.9764865431189538,0.9795235521594683,0.0031392853682968864,0.8947328726450602,0.8927828060587247,0.896641193429629,0.003976124476848429,0.8454431653022766,0.841647922595342,0.8491856091221174,0.0076571934278332615,-0.07610239187876383,-0.15850373754898706,-0.007475031216939319,0.15458878511476215,0.7966665863990784,0.7906833376487096,0.8026918636759122,0.012271662244704483
transformer_matched,15,0.9795209646224976,0.9780924399693807,0.980785312751929,0.002762339366445482,0.8952916502952576,0.8928254225850105,0.8977389073371886,0.004994378683647992,0.8451521555582683,0.8416571214795113,0.8483575580517451,0.006903426862357607,-0.008454644680023193,-0.0780768096446991,0.052427561978499085,0.1360265841547676,0.8085583329200745,0.8014170557260513,0.8156211638450622,0.014734984787151075
