name,PE_1h,PE_6h,PE_12h,PE_pers_1h,PE_st_6h
lstm,0.9554301381111145,0.8805761178334554,0.8399694522221883,-1.1947656313578288,0.7884058197339375
transformer,0.9781472245852153,0.8947328726450602,0.8454431653022766,-0.07610239187876383,0.7966665863990784
storm_bz,0.9860284328460693,0.8995162725448609,0.8538069883982341,0.31199429829915365,0.8120505928993225
storm_no_delay,0.9869152506192526,0.9016622145970662,0.8554515679677327,0.3556647300720215,0.8093836625417073
storm_no_physics,0.9860387007395427,0.8987367630004883,0.8501827359199524,0.31249990065892536,0.8069280743598938
storm_no_gate,0.9862141807874044,0.9003934144973755,0.8559396902720133,0.3211414933204651,0.819121241569519
transformer_matched,0.9795209646224976,0.8952916502952576,0.8451521555582683,-0.008454644680023193,0.8085583329200745
storm_cathode,0.9861381848653158,0.9010557015736897,0.8549428343772888,0.3173987627029419,0.8150001168251038
storm_cathode_spec,0.9861830472946167,0.9016117970148723,0.8563142538070678,0.319607933362325,0.8154880603154501
storm_radiotrophic,0.9863037784894307,0.9007444898287456,0.8544563730557759,0.3255535960197449,0.8139753619829814
