model,PE_1h,PE_6h,PE_12h
tf_ffn256,0.976 +/- 0.002,0.902 +/- 0.003,0.856 +/- 0.005
tf_ffn256_res,0.987 +/- 0.001,0.909 +/- 0.005,0.865 +/- 0.005
